"Region";"Type";"Date";"Variable";"Value"
"01 Østfold";"01 Nye eneboliger";1999;"Kvadratmeterpris (kr)";7880
"01 Østfold";"01 Nye eneboliger";1999;"Endring i prosent fra foregående år";0
"01 Østfold";"01 Nye eneboliger";1999;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";131,3
"01 Østfold";"01 Nye eneboliger";2000;"Kvadratmeterpris (kr)";8868
"01 Østfold";"01 Nye eneboliger";2000;"Endring i prosent fra foregående år";12,5
"01 Østfold";"01 Nye eneboliger";2000;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";124,5
"01 Østfold";"01 Nye eneboliger";2001;"Kvadratmeterpris (kr)";12904
"01 Østfold";"01 Nye eneboliger";2001;"Endring i prosent fra foregående år";0
"01 Østfold";"01 Nye eneboliger";2001;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";137,8
"01 Østfold";"01 Nye eneboliger";2002;"Kvadratmeterpris (kr)";13422
"01 Østfold";"01 Nye eneboliger";2002;"Endring i prosent fra foregående år";4
"01 Østfold";"01 Nye eneboliger";2002;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";131,3
"01 Østfold";"01 Nye eneboliger";2003;"Kvadratmeterpris (kr)";13723
"01 Østfold";"01 Nye eneboliger";2003;"Endring i prosent fra foregående år";2,2
"01 Østfold";"01 Nye eneboliger";2003;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";133,3
"01 Østfold";"01 Nye eneboliger";2004;"Kvadratmeterpris (kr)";14811
"01 Østfold";"01 Nye eneboliger";2004;"Endring i prosent fra foregående år";7,9
"01 Østfold";"01 Nye eneboliger";2004;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";129,8
"01 Østfold";"01 Nye eneboliger";2005;"Kvadratmeterpris (kr)";16011
"01 Østfold";"01 Nye eneboliger";2005;"Endring i prosent fra foregående år";8,1
"01 Østfold";"01 Nye eneboliger";2005;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";134,9
"01 Østfold";"01 Nye eneboliger";2006;"Kvadratmeterpris (kr)";16034
"01 Østfold";"01 Nye eneboliger";2006;"Endring i prosent fra foregående år";0,1
